ASIN,Category,Product Link,No of Seller,Rank,Rating,Reviews Count,Price,Quantity
B08F5LQCYP,Electronics,https://www.amazon.com/gp/offer-listing/B08F5LQCYP/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,44,4.5,"1,228",$10.00 ,25
B07X27VK3D,Electronics,https://www.amazon.com/gp/offer-listing/B07X27VK3D/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,45,4.5,"111,650",$10.00 ,27
B07PS737QQ,Electronics,https://www.amazon.com/gp/offer-listing/B07PS737QQ/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,46,4.6,"110,685",$10.35 ,29
B08J61NFNR,Electronics,https://www.amazon.com/gp/offer-listing/B08J61NFNR/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,6,47,4.9,"44,087",$10.98 ,32
B0916TKFF2,Electronics,https://www.amazon.com/gp/offer-listing/B0916TKFF2/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,9,48,4.7,727,$10.99 ,34
B086VR9J8Q,Electronics,https://www.amazon.com/gp/offer-listing/B086VR9J8Q/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,49,4.7,"17,175",$11.40 ,37
B07YGZL8XF,Electronics,https://www.amazon.com/gp/offer-listing/B07YGZL8XF/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,32,50,4.8,"7,116",$11.98 ,39
B095NWYQBC,Electronics,https://www.amazon.com/gp/offer-listing/B095NWYQBC/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,51,5,4,$11.99 ,42
B086VRY8GZ,Electronics,https://www.amazon.com/gp/offer-listing/B086VRY8GZ/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,52,4.6,"5,826",$12.00 ,44
B071FXZBMV,Electronics,https://www.amazon.com/gp/offer-listing/B071FXZBMV/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,2,53,4.5,"33,856",$12.01 ,47
B07FKR6KXF,Electronics,https://www.amazon.com/gp/offer-listing/B07FKR6KXF/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,54,4.4,"193,908",$12.20 ,49
B084J4KNDS,Electronics,https://www.amazon.com/gp/offer-listing/B084J4KNDS/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,55,4.7,"267,821",$12.49 ,52
B08F6B347L,Electronics,https://www.amazon.com/gp/offer-listing/B08F6B347L/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,56,4.5,"1,228",$12.49 ,54
B087RKKXM5,Electronics,https://www.amazon.com/gp/offer-listing/B087RKKXM5/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,2,57,4.8,"11,084",$12.71 ,57
B07PF1Y28C,Electronics,https://www.amazon.com/gp/offer-listing/B07PF1Y28C/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,58,4.7,"222,209",$12.75 ,59
B08DFCWVZ4,Electronics,https://www.amazon.com/gp/offer-listing/B08DFCWVZ4/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,10,59,4.4,"12,973",$12.98 ,62
B086VRR9K9,Electronics,https://www.amazon.com/gp/offer-listing/B086VRR9K9/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,60,4.6,"5,573",$12.99 ,177
B07KGVB6D6,Electronics,https://www.amazon.com/gp/offer-listing/B07KGVB6D6/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,61,4.6,"47,546",$12.99 ,80
B081RJ8DW1,Electronics,https://www.amazon.com/gp/offer-listing/B081RJ8DW1/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,10,62,4.4,"21,080",$12.99 ,183
B08YKGZF7P,Electronics,https://www.amazon.com/gp/offer-listing/B08YKGZF7P/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,3,63,4.2,35,$13.00 ,96
B08ZN8JP3G,Electronics,https://www.amazon.com/gp/offer-listing/B08ZN8JP3G/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,64,4.4,"54,100",$13.22 ,189
B07HZJ64WD,Electronics,https://www.amazon.com/gp/offer-listing/B07HZJ64WD/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,65,4.6,"395,831",$13.29 ,75
B0148NNKTC,Electronics,https://www.amazon.com/gp/offer-listing/B0148NNKTC/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,16,66,4.7,"42,694",$13.50 ,195
B086DKGCFP,Electronics,https://www.amazon.com/gp/offer-listing/B086DKGCFP/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,67,4.4,"54,100",$13.68 ,198
B08F6DWKQP,Electronics,https://www.amazon.com/gp/offer-listing/B08F6DWKQP/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,68,4.5,179,$13.88 ,201
B07978J597,Electronics,https://www.amazon.com/gp/offer-listing/B07978J597/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,69,4.6,"36,144",$13.99 ,204
B07WGL828F,Electronics,https://www.amazon.com/gp/offer-listing/B07WGL828F/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,70,4.6,"100,279",$13.99 ,207
B08R6S1M1K,Electronics,https://www.amazon.com/gp/offer-listing/B08R6S1M1K/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,3,71,4.7,"1,450",$13.99 ,210
B084DCJKSL,Electronics,https://www.amazon.com/gp/offer-listing/B084DCJKSL/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,72,4.7,314,$14.47 ,213
B07TWFVDWT,Electronics,https://www.amazon.com/gp/offer-listing/B07TWFVDWT/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,37,73,4.6,"95,064",$14.63 ,216
B07MVZZV3G,Electronics,https://www.amazon.com/gp/offer-listing/B07MVZZV3G/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,7,74,4.8,"39,828",$14.98 ,24
B08F6GPQQ7,Electronics,https://www.amazon.com/gp/offer-listing/B08F6GPQQ7/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,75,4.5,179,$14.99 ,26
B085WSCTS4,Electronics,https://www.amazon.com/gp/offer-listing/B085WSCTS4/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,76,4.5,"3,695",$14.99 ,28
B074JT3698,Electronics,https://www.amazon.com/gp/offer-listing/B074JT3698/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,77,4.5,"10,583",$14.99 ,30
B085TC9N3K,Electronics,https://www.amazon.com/gp/offer-listing/B085TC9N3K/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,2,78,4.7,"4,044",$14.99 ,31
B08J65DST5,Electronics,https://www.amazon.com/gp/offer-listing/B08J65DST5/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,6,79,4.9,"44,087",$15.00 ,32
B08F6L6HVP,Electronics,https://www.amazon.com/gp/offer-listing/B08F6L6HVP/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,80,4.5,"1,228",$15.18 ,33
B08YSYKBLV,Electronics,https://www.amazon.com/gp/offer-listing/B08YSYKBLV/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,81,4.8,"78,639",$15.90 ,34
B08ZN7QCRP,Electronics,https://www.amazon.com/gp/offer-listing/B08ZN7QCRP/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,82,4.4,"54,100",$15.95 ,35
B07F981R8M,Electronics,https://www.amazon.com/gp/offer-listing/B07F981R8M/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,15,83,4.6,"55,688",$15.97 ,36
B08YMBQJ49,Electronics,https://www.amazon.com/gp/offer-listing/B08YMBQJ49/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,85,4.9,"1,575",$15.97 ,37
B07CCGBB7M,Electronics,https://www.amazon.com/gp/offer-listing/B07CCGBB7M/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,2,86,4.7,"34,176",$15.98 ,38
B07GPFDL1K,Electronics,https://www.amazon.com/gp/offer-listing/B07GPFDL1K/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,4,87,4.5,"17,939",$15.99 ,39
B07N4DHFZM,Electronics,https://www.amazon.com/gp/offer-listing/B07N4DHFZM/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,2,88,4.2,"17,011",$15.99 ,30
B07D25RSWX,Electronics,https://www.amazon.com/gp/offer-listing/B07D25RSWX/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,7,89,4.8,"35,734",$15.99 ,30
B08F6FYN6B,Electronics,https://www.amazon.com/gp/offer-listing/B08F6FYN6B/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,1,90,4.5,484,$15.99 ,30
B001E1Y5O6,Electronics,https://www.amazon.com/gp/offer-listing/B001E1Y5O6/ref=dp_olp_new_mbc?ie=UTF8&amp;condition=all,5,91,4.8,"21,563",$15.99 ,30
